이름,유형,단일 노트,롱 노트
벌레,친화,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
부패한 쥐,근거리,단일 노트  : 앞발을 휘저어 공격함.,"롱 노트 
시작 : 몸을 일으켜 세움.
끝 : 다시 내려가며 앞니로 강하게 깨묾."
갑옷 경비병,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
갑옷 기사,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
갑옷 마법사,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
갑옷 궁수,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
잠식된 경비병,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
잠식된 학생,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
잠식된 자폭 학생,소환물,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
잠식된 기사,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
잠식된 견습 마법사,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
어둠 부산물,소환물,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
강화된 어둠 부산물,소환물,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
부패한 보초병,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
부패한 형체,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
타락한 기사,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
타락한 경비병,근거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
타락한 마도사,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
타락한 사제,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
타락한 마법 궁수,원거리,단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
오펀,"소환물, 원거리",단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
컬트의 종,"소환물, 원거리",단일 노트  : 반응하지 않음.,롱 노트  : 반응하지 않음.
