이름,단일 노트,단일 노트 설명,롱 노트,롱 노트 설명,반응 노트,유형
벌레,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,없음,친화
갑옷 경비병,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
갑옷 기사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
갑옷 마법사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",원거리
갑옷 궁수,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",원거리
잠식된 경비병,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
잠식된 학생,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,단일 노트,근거리
잠식된 기사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
잠식된 견습 마법사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",원거리
어둠 부산물,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,롱 노트,소환물
부패한 보초병,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
부패한 형체,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,롱 노트,원거리
타락한 기사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
타락한 경비병,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",근거리
타락한 마도사,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",원거리
타락한 사제,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,롱 노트,원거리
타락한 마법 궁수,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트",원거리
강화된 어둠 부산물,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,롱 노트,소환물
오펀,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,단일 노트,"소환물, 원거리"
잠식된 자폭 학생,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,없음,소환물
부패한 쥐,단일 노트  : 앞발을 휘저어 공격함.,앞발을 휘저어 공격함.,"롱 노트 
시작 : 몸을 일으켜 세움.
끝 : 다시 내려가며 앞니로 강하게 깨묾.",시작 : 몸을 일으켜 세움./끝 : 다시 내려가며 앞니로 강하게 깨묾.,"단일 노트, 롱 노트",근거리
컬트의 종,단일 노트  : 반응하지 않음.,,롱 노트  : 반응하지 않음.,,"단일 노트, 롱 노트","소환물, 원거리"
